cd_corrida,is_carga_alta_carregamento_1,is_carga_alta_carregamento_2,qt_segundos_duracao_parada_carregamento_1,qt_segundos_duracao_parada_carregamento_2,is_carga_alta,qt_segundos_parada_carga_alta
O6424,0,0,0,0,0,0
O6688,0,0,0,0,0,0
O6763,0,0,0,0,0,0
N9010,0,1,0,240,1,240
N9018,0,0,0,0,0,0
N9167,0,0,0,0,0,0
N9201,0,0,0,0,0,0
N9288,0,1,0,243,1,243
N9348,0,1,0,196,1,196
N9448,0,0,0,0,0,0
N9525,1,0,181,0,1,181
N9569,0,1,0,339,1,339
N9712,0,0,0,0,0,0
N9850,0,0,0,0,0,0
N9851,0,0,0,0,0,0
N9894,0,0,0,0,0,0
O0064,1,0,89,0,1,89
O0069,0,1,0,229,1,229
O0290,0,0,0,0,0,0
O0466,0,0,0,0,0,0
O0483,0,0,0,0,0,0
O0491,0,0,0,0,0,0
O0572,0,0,0,0,0,0
O0576,0,0,0,0,0,0
O0579,0,0,0,0,0,0
O0704,1,0,524,0,1,524
O0780,0,1,0,91,1,91
O0828,0,0,0,0,0,0
O0904,0,0,0,0,0,0
O1379,0,0,0,0,0,0
O1915,0,1,0,330,1,330
O1934,0,0,0,0,0,0
O2592,0,0,0,0,0,0
O2618,0,0,0,0,0,0
O2683,0,0,0,0,0,0
O2728,0,0,0,0,0,0
O3273,0,0,0,0,0,0
O3325,0,1,0,154,1,154
O3576,0,0,0,0,0,0
O3620,0,0,0,0,0,0
O3622,0,0,0,0,0,0
O3806,0,0,0,0,0,0
O4290,0,1,0,135,1,135
O4296,0,0,0,0,0,0
O4312,0,0,0,0,0,0
O4580,0,0,0,0,0,0
O4595,0,0,0,0,0,0
O4728,0,0,0,0,0,0
O4838,1,0,101,0,1,101
O4955,0,0,0,0,0,0
O4969,0,0,0,0,0,0
O4995,0,1,0,357,1,357
O5242,0,0,0,0,0,0
O6121,0,0,0,0,0,0
O6202,0,0,0,0,0,0
O6353,0,0,0,0,0,0
O6768,0,0,0,0,0,0
O6770,0,0,0,0,0,0
O6811,0,0,0,0,0,0
O6920,0,0,0,0,0,0
O7240,1,0,42,0,1,42
N8961,0,0,0,0,0,0
N9025,0,0,0,0,0,0
N9146,0,0,0,0,0,0
N9283,0,0,0,0,0,0
N9331,0,0,0,0,0,0
N9508,0,1,0,137,1,137
N9626,0,0,0,0,0,0
N9822,0,0,0,0,0,0
N9827,0,1,0,92,1,92
N9841,0,0,0,0,0,0
N9872,0,0,0,0,0,0
O0497,0,0,0,0,0,0
O0528,0,0,0,0,0,0
O0529,1,0,764,0,1,764
O0569,0,0,0,0,0,0
O0663,0,1,0,74,1,74
O0684,0,1,0,248,1,248
O0827,0,1,0,72,1,72
O0854,0,0,0,0,0,0
O1026,0,0,0,0,0,0
O1084,0,1,0,66,1,66
O1377,0,0,0,0,0,0
O1405,0,0,0,0,0,0
O1419,0,0,0,0,0,0
O2158,1,0,269,0,1,269
O2172,0,0,0,0,0,0
O2296,0,1,0,63,1,63
O2308,0,1,0,134,1,134
O2386,0,0,0,0,0,0
O2868,0,0,0,0,0,0
O3387,0,0,0,0,0,0
O3416,0,0,0,0,0,0
O3512,0,0,0,0,0,0
O3789,0,0,0,0,0,0
O4051,0,0,0,0,0,0
O4076,0,0,0,0,0,0
O4245,0,0,0,0,0,0
O4306,0,0,0,0,0,0
O4674,0,0,0,0,0,0
O4677,0,0,0,0,0,0
O5612,1,0,44,0,1,44
O5705,0,0,0,0,0,0
O5909,0,1,0,120,1,120
O5949,0,1,0,252,1,252
O6305,0,1,0,101,1,101
O6456,0,0,0,0,0,0
O6470,0,0,0,0,0,0
O6477,1,0,30,0,1,30
O6478,0,1,0,252,1,252
O6571,0,0,0,0,0,0
O6624,0,0,0,0,0,0
O6835,0,0,0,0,0,0
O6958,0,0,0,0,0,0
O7144,0,1,0,863,1,863
O7172,0,1,0,118,1,118
N9027,0,0,0,0,0,0
N9451,0,0,0,0,0,0
N9631,0,0,0,0,0,0
